Nome completo do funcionário,Data de nascimento do funcionário,CPF do funcionário,Matrícula do funcionário,Cargo do funcionário,Setor de trabalho do funcionário,Data de início da ausência,Data de término da ausência,Total de dias de ausência,Código Internacional de Doenças (CID),Nome da doença (descrição do CID),Data da consulta médica,CRM do médico responsável,Nome do médico responsável,Local da consulta médica (hospital/clínica),Tipo de atendimento (ambulatorial/internação),Tipo de ausência (afastamento total/parcial),Laudo médico (sim/não),Tipo de laudo (perícia/consulta),Tratamento recomendado (medicação/repouso/outro),Data da emissão do atestado,Data de recebimento do atestado pelo RH,Histórico de ausências médicas anteriores,Horário da consulta médica,Regime de trabalho (CLT/Estatutário),Data de retorno ao trabalho prevista,Data de retorno ao trabalho efetiva,Tipo de vínculo empregatício (efetivo/temporário),Justificativa do médico para o afastamento,Status da análise do pedido de ausência (aprovado/pendente/rejeitado)
Catarina Cavalcanti,1964-05-08,285.036.197-68,46641,Jogador de vôlei,necessitatibus,2024-03-10,2024-01-12,29,D0042,quam,2024-04-28,55136-S,Gustavo da Cruz,Novaes Pinto Ltda.,internação,afastamento parcial,sim,consulta,medicação,2024-01-09,2024-03-28,3,01:15:56,Estatutário,2024-01-05,2024-06-10,temporário,Molestias libero voluptates reprehenderit illo.,pendente
Enzo Gabriel Peixoto,1972-02-21,659.870.412-01,49398,Engenheiro de segurança do trabalho,soluta,2024-05-23,2024-02-19,17,B0086,quae,2024-03-13,50639-P,Pedro Lucas Gomes,Alves,internação,afastamento parcial,sim,consulta,medicação,2024-06-01,2024-05-25,1,21:59:09,CLT,2024-04-30,2024-02-10,efetivo,Est fuga quasi quos aut veritatis.,aprovado
Joaquim Pires,1992-08-12,874.923.105-79,72410,Ministro,libero,2024-03-25,2024-03-12,21,B0098,suscipit,2024-05-11,42707-P,Srta. Laura Ramos,Costa Teixeira S/A,ambulatorial,afastamento parcial,sim,perícia,medicação,2024-01-17,2024-01-15,2,22:45:54,CLT,2024-01-04,2024-02-11,temporário,Nulla beatae et voluptate.,pendente
Luiz Henrique Nunes,2002-08-16,354.612.897-46,39736,Otorrinolaringologista,facilis,2024-04-09,2024-01-03,11,D0099,numquam,2024-01-11,56879-P,Ana Laura Cardoso,das Neves,internação,afastamento total,sim,consulta,outro,2024-03-06,2024-03-05,0,05:24:13,CLT,2024-06-10,2024-02-10,efetivo,Voluptas fugit provident perferendis laudantium vitae.,pendente
Arthur Costa,1965-11-21,567.192.038-86,97312,Podólogo,iure,2024-04-28,2024-03-07,2,D0070,repudiandae,2024-04-22,52889-S,Eloah da Cunha,Fernandes,internação,afastamento parcial,não,perícia,outro,2024-01-16,2024-01-13,4,05:21:08,CLT,2024-05-07,2024-02-04,temporário,Perspiciatis nam sunt voluptates enim facere voluptatum quos.,aprovado
Yuri da Luz,2002-11-10,587.920.163-59,39926,Farmacêutico,impedit,2024-06-07,2024-03-24,23,A0042,perspiciatis,2024-01-11,70499-P,Joana Mendes,Gomes,ambulatorial,afastamento parcial,sim,perícia,repouso,2024-03-02,2024-02-03,5,00:53:18,Estatutário,2024-02-07,2024-02-29,efetivo,Nulla tempore aliquid quod.,pendente
Leandro Correia,1994-07-05,204.196.785-49,31939,Bailarina,nemo,2024-02-16,2024-02-25,8,D0092,dolorem,2024-03-28,58135-S,Esther Pereira,da Cruz Cavalcanti S.A.,ambulatorial,afastamento total,não,consulta,repouso,2024-06-06,2024-04-07,5,03:24:01,Estatutário,2024-04-30,2024-05-18,temporário,Libero doloremque magnam nam.,pendente
Isabel Ramos,1994-05-14,483.590.672-10,4178,Agente funerário,deserunt,2024-02-24,2024-01-11,24,B0088,quaerat,2024-02-15,71252-S,Dra. Stephany Araújo,da Mata,internação,afastamento parcial,não,consulta,medicação,2024-03-16,2024-04-20,3,06:59:42,CLT,2024-01-12,2024-01-08,temporário,Qui aspernatur magni eveniet.,rejeitado
Dr. Bryan Santos,1984-06-13,820.637.549-00,60888,Tecnólogo em produção moveleira,asperiores,2024-05-16,2024-05-03,19,C0056,minima,2024-02-23,51146-S,Isabella Araújo,Ramos,internação,afastamento total,sim,perícia,repouso,2024-01-07,2024-03-04,4,18:11:28,Estatutário,2024-06-12,2024-03-28,efetivo,Ipsum quo ea.,pendente
Ana Júlia das Neves,1992-07-10,143.597.680-01,74301,Contatólogo,explicabo,2024-02-17,2024-05-09,27,B0072,deleniti,2024-03-12,43580-S,Lucca Pires,Castro,ambulatorial,afastamento parcial,sim,perícia,outro,2024-06-04,2024-04-16,1,07:43:20,Estatutário,2024-01-13,2024-03-12,efetivo,Voluptatibus illo quas enim modi ea.,pendente
Mariane Gomes,1976-05-15,479.685.201-85,5138,Fresador,sint,2024-02-24,2024-03-01,9,C0014,ex,2024-02-03,44801-S,Valentina Correia,da Paz da Rosa e Filhos,ambulatorial,afastamento parcial,não,consulta,repouso,2024-05-17,2024-05-20,3,08:54:20,CLT,2024-03-09,2024-01-28,efetivo,Cumque eaque adipisci ad.,rejeitado
Sr. Lucas Gabriel Costela,1994-01-01,419.238.657-73,94245,Delegado,velit,2024-04-02,2024-03-17,12,C0035,atque,2024-05-30,90298-S,Marcos Vinicius Jesus,Moraes Lopes Ltda.,ambulatorial,afastamento parcial,sim,consulta,repouso,2024-03-11,2024-04-02,3,04:39:22,Estatutário,2024-03-20,2024-04-23,efetivo,Vel excepturi voluptas provident voluptate.,pendente
João Miguel Porto,2004-02-07,602.794.153-70,54098,Manicure,mollitia,2024-03-16,2024-02-02,19,B0021,animi,2024-04-28,96310-S,Maitê Duarte,Gonçalves,internação,afastamento total,sim,perícia,repouso,2024-03-12,2024-03-03,5,21:12:39,CLT,2024-05-10,2024-02-02,temporário,Provident quisquam sint tempore eius occaecati impedit.,aprovado
Rebeca Araújo,1964-03-01,047.269.853-29,14561,Ferroviário,molestias,2024-01-01,2024-05-22,23,B0040,fugit,2024-06-03,74336-P,Fernando da Mota,Lopes Pires - EI,ambulatorial,afastamento parcial,não,consulta,repouso,2024-01-01,2024-02-05,1,11:33:23,CLT,2024-05-16,2024-01-26,efetivo,Sunt perferendis magnam quia enim quo.,rejeitado
Renan Carvalho,2003-07-14,890.657.241-76,29653,Montador de negativos,commodi,2024-01-23,2024-01-28,14,A0068,nesciunt,2024-05-11,90020-P,João Mendes,Peixoto Ltda.,internação,afastamento parcial,sim,perícia,repouso,2024-03-05,2024-04-27,1,04:55:06,Estatutário,2024-01-14,2024-03-09,efetivo,Ipsum numquam at quasi.,aprovado
Gustavo Azevedo,2005-08-24,623.451.879-64,18187,Produtor editorial,consectetur,2024-03-24,2024-04-20,17,C0070,repellendus,2024-04-29,42441-S,Cecília Correia,Aragão Fernandes - EI,ambulatorial,afastamento parcial,não,consulta,outro,2024-02-11,2024-02-14,3,06:04:55,Estatutário,2024-04-20,2024-02-13,temporário,Culpa in ipsum neque ipsum ex atque.,rejeitado
Dr. Yuri Ribeiro,1980-05-13,538.012.649-98,30904,Geradorista,ex,2024-03-16,2024-02-25,10,D008,delectus,2024-04-03,70369-S,Alexia Correia,Ribeiro,ambulatorial,afastamento parcial,não,consulta,outro,2024-05-14,2024-04-09,1,12:08:54,Estatutário,2024-02-18,2024-03-28,efetivo,Esse commodi omnis ea numquam hic dolorem.,rejeitado
Srta. Isabella da Conceição,1962-07-01,219.463.850-42,32958,Carnavalesco,ut,2024-04-06,2024-03-08,11,A0036,alias,2024-04-10,50853-S,Augusto Duarte,Ferreira,internação,afastamento parcial,não,perícia,outro,2024-01-02,2024-01-21,1,01:53:41,CLT,2024-03-03,2024-02-11,efetivo,Dignissimos quas ipsum reprehenderit unde voluptatum soluta.,pendente
Bernardo da Mota,1999-09-27,298.107.436-96,78050,Salva-vidas,nobis,2024-03-31,2024-03-10,6,C0097,cupiditate,2024-06-01,34751-P,Yuri Oliveira,Rocha da Cunha - ME,ambulatorial,afastamento parcial,sim,perícia,outro,2024-03-30,2024-04-06,4,17:42:30,CLT,2024-05-14,2024-02-06,efetivo,Aspernatur repellendus consequatur cupiditate fugit.,rejeitado
Bruno Correia,1970-08-06,410.362.975-43,83417,Programador,incidunt,2024-05-01,2024-02-18,5,B0071,esse,2024-02-07,73661-P,Stephany Souza,Oliveira - EI,internação,afastamento parcial,não,consulta,medicação,2024-01-22,2024-06-03,0,04:57:05,CLT,2024-01-19,2024-02-18,efetivo,Ab eligendi qui modi est.,pendente
Noah Teixeira,1993-08-11,621.835.409-15,68778,Necromaquiador,perspiciatis,2024-01-12,2024-06-17,17,A0077,sunt,2024-05-15,47234-S,Diego Cardoso,Fernandes,internação,afastamento total,não,perícia,outro,2024-03-08,2024-02-27,3,21:26:57,CLT,2024-04-24,2024-02-05,temporário,Ratione eos vitae sunt corrupti suscipit.,pendente
Felipe Duarte,2005-06-18,304.625.179-34,60468,Skatista,repellendus,2024-01-31,2024-04-04,7,A0096,praesentium,2024-04-19,56107-S,Breno Novaes,Almeida Carvalho e Filhos,internação,afastamento parcial,não,consulta,outro,2024-01-18,2024-06-11,0,07:16:06,CLT,2024-05-24,2024-04-21,efetivo,Unde molestias enim sed pariatur asperiores.,pendente
Luiza Pereira,2000-03-23,245.890.136-06,64213,Tecnólogo em irrigação e drenagem,corporis,2024-02-29,2024-01-05,14,A005,iste,2024-05-27,91528-S,Lara Gonçalves,Gonçalves da Luz e Filhos,ambulatorial,afastamento parcial,sim,consulta,repouso,2024-03-05,2024-06-13,5,16:16:24,Estatutário,2024-05-19,2024-03-11,efetivo,Quidem similique laudantium quia exercitationem delectus.,rejeitado
João Pedro da Conceição,2000-10-19,580.316.492-51,10397,Cirurgião bucal,ut,2024-03-03,2024-03-05,13,D0060,quia,2024-05-30,45780-P,Srta. Emilly das Neves,Rodrigues,ambulatorial,afastamento parcial,não,perícia,medicação,2024-01-02,2024-02-03,1,20:22:42,CLT,2024-05-15,2024-01-28,efetivo,Soluta consequatur aliquid impedit veritatis vitae quis.,aprovado
Lucca da Mata,1990-06-12,256.391.407-80,67959,Intérprete de Bíblias,natus,2024-04-04,2024-04-19,14,A0024,eius,2024-03-13,57834-S,Camila Fernandes,Duarte,internação,afastamento parcial,não,consulta,medicação,2024-06-13,2024-04-14,1,00:36:58,Estatutário,2024-01-27,2024-06-13,temporário,Mollitia laudantium labore optio voluptatem quidem quibusdam deleniti.,rejeitado
Sr. Benício da Luz,1968-02-15,748.632.015-08,84557,Subprefeito,mollitia,2024-02-11,2024-01-23,12,B0021,quidem,2024-06-12,17858-S,Dra. Joana Carvalho,Sales,internação,afastamento total,não,consulta,repouso,2024-05-10,2024-02-25,2,18:27:51,Estatutário,2024-06-03,2024-02-09,efetivo,Placeat consequuntur at fugit dolores deserunt pariatur.,rejeitado
Srta. Maria Clara da Cunha,1995-12-08,210.879.546-49,12540,Pizzaiolo,saepe,2024-01-28,2024-01-23,20,B0052,totam,2024-02-16,52440-S,Agatha Moraes,Correia S.A.,ambulatorial,afastamento total,não,perícia,outro,2024-03-08,2024-06-17,4,09:13:49,Estatutário,2024-06-06,2024-04-11,efetivo,Eum iusto autem.,aprovado
Sophia Lopes,1996-01-22,523.648.079-56,68419,Pizzaiolo,ab,2024-02-19,2024-01-14,5,B0050,adipisci,2024-03-27,26390-S,Augusto Fernandes,da Costa Monteiro S/A,ambulatorial,afastamento total,sim,consulta,outro,2024-03-20,2024-03-06,4,10:27:24,CLT,2024-03-20,2024-02-06,temporário,Fugiat commodi iure itaque natus animi.,aprovado
Luiz Henrique Mendes,1998-05-22,364.195.870-93,70553,Rebarbador de metal,voluptatibus,2024-04-03,2024-04-25,1,D001,mollitia,2024-05-17,84803-S,Ian Novaes,Moreira - ME,ambulatorial,afastamento parcial,não,consulta,medicação,2024-05-10,2024-04-13,5,19:29:30,Estatutário,2024-01-15,2024-05-26,efetivo,Quis laborum quae voluptates repudiandae exercitationem.,pendente
Luiz Miguel Costa,1982-03-18,218.567.309-21,19391,Mototaxista,cupiditate,2024-02-26,2024-04-10,12,D004,eius,2024-04-18,68851-P,Murilo Cunha,Oliveira Nogueira S/A,internação,afastamento parcial,sim,perícia,outro,2024-04-16,2024-03-15,1,14:21:45,CLT,2024-01-02,2024-04-21,temporário,Nostrum consequatur minima minus.,aprovado
Bruna Correia,1980-02-19,190.853.246-70,27653,Eletricista de automóveis,sint,2024-02-19,2024-04-16,22,A0076,repellendus,2024-05-29,34631-S,Isabelly Porto,Fernandes,internação,afastamento total,não,perícia,medicação,2024-01-10,2024-03-26,3,15:51:41,CLT,2024-01-19,2024-01-20,temporário,Labore neque illum deserunt repellat minima animi.,rejeitado
Enzo Gabriel Mendes,1989-04-15,357.402.689-74,43557,Engenheiro mecatrônico,laborum,2024-05-17,2024-04-22,26,C0034,ut,2024-03-14,88578-S,Otávio Rocha,da Rocha da Conceição S/A,ambulatorial,afastamento total,sim,consulta,outro,2024-05-26,2024-05-07,4,11:05:19,Estatutário,2024-06-10,2024-02-04,efetivo,Iusto ipsa architecto accusamus tenetur illo.,aprovado
Sophia Santos,2005-12-25,859.371.460-93,54739,Carteiro,animi,2024-04-27,2024-03-09,5,C0035,neque,2024-03-27,13728-S,Kaique Novaes,da Luz Ltda.,ambulatorial,afastamento total,sim,consulta,medicação,2024-05-24,2024-02-12,5,22:53:23,CLT,2024-05-28,2024-03-15,temporário,Hic ullam laboriosam vitae.,aprovado
Srta. Raquel Jesus,1994-12-10,685.702.491-01,71778,Profissional de comércio exterior,esse,2024-02-16,2024-02-09,24,B0094,quas,2024-03-30,11070-S,Gabriel Lopes,Melo,internação,afastamento total,não,consulta,medicação,2024-05-19,2024-01-14,0,23:48:00,Estatutário,2024-01-12,2024-06-04,temporário,Quae minus cumque aperiam quae quidem.,pendente
Dr. Heitor Fogaça,1962-08-01,467.321.985-64,42767,Lutador de luta livre,omnis,2024-05-20,2024-03-17,5,C0034,natus,2024-02-21,97323-P,Catarina Nascimento,da Conceição Jesus S.A.,internação,afastamento total,não,perícia,outro,2024-06-12,2024-04-13,4,15:59:03,Estatutário,2024-03-30,2024-05-21,temporário,Porro illum eum reprehenderit voluptatem similique necessitatibus voluptatum.,rejeitado
Dr. Levi Aragão,1990-06-17,612.843.075-90,53991,Carnavalesco,quae,2024-02-02,2024-02-19,18,A0032,sed,2024-04-20,77297-P,Dra. Ana Vitória Farias,Ferreira,internação,afastamento parcial,sim,perícia,medicação,2024-01-13,2024-06-15,2,20:12:29,CLT,2024-05-09,2024-04-11,temporário,Eligendi aliquid sapiente voluptas quasi quod possimus exercitationem.,rejeitado
Agatha Mendes,1980-12-26,143.052.789-79,46819,Caça-talentos/Olheiro,possimus,2024-01-25,2024-06-16,28,C0072,architecto,2024-01-08,34964-P,Pedro da Costa,Jesus,internação,afastamento parcial,não,consulta,outro,2024-05-28,2024-04-25,3,13:54:30,Estatutário,2024-03-27,2024-06-05,temporário,Explicabo earum vitae voluptate recusandae accusantium.,pendente
Pedro Lucas Peixoto,1961-04-17,850.261.374-07,17730,Tecnólogo em silvicultura,est,2024-02-13,2024-02-21,8,A0068,sunt,2024-06-12,71727-S,Lucca Nascimento,Pereira,ambulatorial,afastamento parcial,não,consulta,repouso,2024-06-07,2024-03-19,5,07:10:05,CLT,2024-05-04,2024-05-05,efetivo,Perferendis soluta in dolorem debitis consectetur soluta.,rejeitado
Ana Júlia da Rosa,1996-11-27,405.183.792-05,23839,Dublador,sapiente,2024-04-26,2024-03-13,28,D005,deleniti,2024-04-14,62021-S,Arthur Pereira,Ferreira Barbosa - EI,ambulatorial,afastamento parcial,não,perícia,medicação,2024-04-19,2024-03-11,2,20:13:20,CLT,2024-02-04,2024-01-05,temporário,Eos vero a et deserunt.,rejeitado
Sabrina Gonçalves,1960-11-30,824.935.761-28,91568,Transportador,facilis,2024-04-05,2024-02-19,9,D009,quae,2024-04-26,98509-P,Benício da Luz,Ribeiro Almeida - EI,internação,afastamento parcial,não,consulta,outro,2024-06-10,2024-03-27,2,04:51:37,CLT,2024-06-02,2024-03-24,efetivo,Sit nam dignissimos tempore.,pendente
João Pedro Viana,1993-08-17,476.029.831-22,11785,Jogador de vôlei,aliquam,2024-05-17,2024-01-24,19,A0043,debitis,2024-04-24,50401-P,Bianca Duarte,Fernandes da Paz S/A,internação,afastamento total,sim,consulta,outro,2024-05-22,2024-05-02,0,21:23:06,CLT,2024-06-13,2024-03-17,temporário,Ab modi dolorum.,rejeitado
Bernardo Castro,1981-07-28,510.976.823-40,80928,Clarinetista,saepe,2024-05-25,2024-05-01,5,A0021,ratione,2024-02-22,72013-P,Diego Barros,Rodrigues Ribeiro Ltda.,internação,afastamento total,sim,perícia,outro,2024-03-28,2024-04-29,4,13:03:29,Estatutário,2024-06-04,2024-04-04,temporário,Illo quam maxime voluptatum mollitia incidunt fuga.,pendente
João Vitor Martins,1981-09-14,498.706.152-01,87579,Cabeleireiro,sit,2024-04-15,2024-01-23,11,A0038,quam,2024-05-16,84912-S,Gabrielly Viana,Rezende,internação,afastamento parcial,não,consulta,medicação,2024-02-01,2024-01-20,2,03:36:27,Estatutário,2024-03-23,2024-01-09,temporário,Molestiae tempora aperiam hic tempore veritatis.,aprovado
Maria Cecília da Costa,1975-04-17,258.146.079-20,72414,Lutador de taekwondo,dicta,2024-01-18,2024-03-28,5,D0058,reiciendis,2024-01-10,43126-P,Bruna Nogueira,Campos,internação,afastamento total,não,consulta,outro,2024-01-12,2024-01-31,3,11:20:45,CLT,2024-02-28,2024-03-18,efetivo,Iure veniam soluta eligendi.,rejeitado
Anthony Cavalcanti,1988-09-28,187.596.043-01,68156,Pesquisador,blanditiis,2024-03-01,2024-04-19,26,A0043,voluptatibus,2024-05-06,22018-S,Daniel Costa,Cardoso - EI,ambulatorial,afastamento parcial,não,perícia,outro,2024-05-29,2024-03-25,5,07:06:22,CLT,2024-02-28,2024-04-18,temporário,Esse debitis id ad nostrum.,rejeitado
Nicole Porto,1991-08-28,238.047.956-92,79588,Capelão,quasi,2024-01-24,2024-04-17,7,C0050,quod,2024-03-05,60965-S,Nicolas Ferreira,Azevedo,ambulatorial,afastamento parcial,sim,consulta,outro,2024-02-24,2024-06-02,3,09:09:31,CLT,2024-05-10,2024-04-02,efetivo,Eligendi omnis aut consequatur laboriosam.,rejeitado
Levi Castro,1985-02-20,746.158.032-90,21578,Engenheiro metalúrgico,necessitatibus,2024-03-12,2024-02-04,8,D0081,a,2024-03-18,64672-S,Nina da Rocha,Martins Costa - ME,internação,afastamento parcial,sim,consulta,repouso,2024-05-04,2024-03-09,3,17:04:51,Estatutário,2024-02-24,2024-03-29,efetivo,Voluptas eaque quia repellat tempore voluptatum consectetur.,rejeitado
Davi Lucas Sales,1978-08-30,481.207.593-97,35404,Trilheiro ou músico de cinema,aut,2024-01-13,2024-03-13,14,B0026,repellendus,2024-03-18,96664-P,Alice da Cunha,Viana S/A,ambulatorial,afastamento parcial,não,perícia,outro,2024-02-02,2024-01-19,5,03:56:51,CLT,2024-06-06,2024-06-13,temporário,Fugiat error provident expedita in nisi possimus repellendus.,pendente
Laís Pinto,1982-07-04,762.048.395-00,76516,Caça-talentos/Olheiro,impedit,2024-04-27,2024-03-07,9,C0086,veritatis,2024-01-27,95582-S,Guilherme Correia,Pires,internação,afastamento total,sim,consulta,outro,2024-03-29,2024-02-24,4,15:21:27,CLT,2024-03-03,2024-02-24,efetivo,Repellendus non molestias adipisci.,rejeitado
Levi Rodrigues,1984-02-14,517.680.349-66,49539,Engenheiro petroquímico,fuga,2024-03-05,2024-01-24,29,C0031,quos,2024-02-22,87476-S,Sra. Ana Laura Almeida,Fogaça S.A.,internação,afastamento total,não,consulta,medicação,2024-04-16,2024-02-17,0,20:59:24,CLT,2024-04-24,2024-04-27,temporário,Accusamus expedita laborum sapiente alias illum ratione.,pendente
Yago da Costa,2004-04-02,567.389.412-00,12828,Químico,ducimus,2024-06-11,2024-05-19,11,B0082,similique,2024-02-26,60217-P,Felipe da Cunha,Santos,internação,afastamento total,sim,consulta,repouso,2024-05-23,2024-02-21,1,14:06:20,CLT,2024-02-06,2024-06-16,temporário,Nisi blanditiis delectus tempora doloremque.,rejeitado
Dr. Emanuel Cardoso,1967-01-05,523.816.790-30,36043,Profissional de informática,officiis,2024-03-14,2024-06-17,5,B0086,delectus,2024-04-20,69375-S,Esther da Cunha,da Paz,ambulatorial,afastamento parcial,não,perícia,medicação,2024-01-23,2024-01-27,0,23:08:31,CLT,2024-03-09,2024-05-20,efetivo,Accusantium magni omnis consectetur eaque commodi ratione debitis.,rejeitado
Sabrina Moura,1964-01-21,451.839.026-15,45929,Agente de defesa sanitária animal,adipisci,2024-03-14,2024-02-21,12,B0077,excepturi,2024-01-14,99938-S,Helena das Neves,Porto da Cruz S/A,internação,afastamento total,não,consulta,outro,2024-03-31,2024-06-13,1,20:11:28,Estatutário,2024-03-31,2024-04-25,efetivo,Tempora neque optio porro eligendi officiis.,pendente
Dr. Daniel Gomes,2004-02-17,813.420.759-60,59538,Enólogo,totam,2024-03-05,2024-03-11,3,B0088,rem,2024-04-13,43607-P,Lavínia Barros,Gonçalves Ltda.,internação,afastamento parcial,não,consulta,outro,2024-04-24,2024-05-08,5,13:42:19,Estatutário,2024-04-12,2024-03-19,efetivo,Aliquid debitis quia enim dolorem rem quam.,rejeitado
Raquel Viana,1993-09-11,269.185.403-51,36430,Regente,quam,2024-05-05,2024-03-03,25,D0013,unde,2024-02-21,95205-P,Luiz Gustavo Pires,Sales,ambulatorial,afastamento parcial,sim,perícia,outro,2024-05-01,2024-04-12,5,12:10:08,Estatutário,2024-06-17,2024-01-11,efetivo,Enim vero sequi fugit facilis saepe dolorum.,pendente
Alícia da Luz,1990-01-27,971.450.386-84,71497,Saxofonista,cum,2024-03-18,2024-06-08,5,A0023,repudiandae,2024-06-13,30114-S,Davi Lucas Pires,Cunha Ltda.,internação,afastamento parcial,não,perícia,medicação,2024-03-26,2024-01-16,1,15:50:32,Estatutário,2024-04-25,2024-05-24,temporário,Ipsum nihil laborum commodi molestias.,pendente
Alexia Ferreira,1998-10-26,859.046.137-84,58981,Estilista,itaque,2024-03-19,2024-05-08,2,D0077,porro,2024-02-13,30668-P,Raul da Mata,Rocha Ltda.,internação,afastamento parcial,não,perícia,outro,2024-04-16,2024-02-08,5,21:54:49,Estatutário,2024-02-03,2024-01-23,efetivo,Molestiae praesentium nam quos aut.,rejeitado
Luiz Gustavo Rocha,1977-06-04,084.739.651-75,9268,Atleta de canoagem,id,2024-02-17,2024-02-06,3,D0018,dicta,2024-01-23,69549-P,Alice Lima,Mendes,internação,afastamento parcial,não,consulta,medicação,2024-03-24,2024-03-16,3,12:25:11,Estatutário,2024-02-21,2024-03-27,efetivo,Ducimus eaque accusantium ipsum illo.,rejeitado
Sr. André Pereira,1997-07-30,137.824.695-00,34200,Endodontista,totam,2024-05-20,2024-01-09,6,B0033,accusamus,2024-05-11,14518-P,Ana Vitória da Costa,Rodrigues Ferreira e Filhos,ambulatorial,afastamento total,não,consulta,outro,2024-05-14,2024-01-19,4,12:16:24,Estatutário,2024-04-20,2024-01-22,efetivo,Totam repellendus temporibus voluptate pariatur dolore.,pendente
Dr. João Vitor Cardoso,1958-12-17,365.129.047-61,69769,Cenógrafo,nostrum,2024-04-12,2024-06-14,30,C009,provident,2024-04-05,56858-P,Esther Freitas,Santos,ambulatorial,afastamento parcial,sim,perícia,medicação,2024-05-26,2024-04-26,0,04:38:37,Estatutário,2024-05-16,2024-01-20,temporário,Necessitatibus eum accusamus.,aprovado
Marcelo Duarte,1962-04-17,381.904.526-06,20117,Administrador,quibusdam,2024-03-10,2024-01-20,8,C0085,veniam,2024-03-25,57799-P,Olivia Ramos,Dias Barros S.A.,ambulatorial,afastamento total,sim,consulta,outro,2024-01-30,2024-05-15,4,02:02:51,Estatutário,2024-06-17,2024-03-02,efetivo,Praesentium sint blanditiis beatae perspiciatis dolorem optio.,aprovado
Rafaela Pinto,1962-02-12,241.857.360-53,24767,Guia turistico,laborum,2024-05-15,2024-04-15,20,B0056,nisi,2024-05-07,21919-S,Sra. Kamilly Pires,da Rosa,internação,afastamento parcial,não,perícia,outro,2024-04-13,2024-04-01,3,08:50:52,CLT,2024-04-28,2024-05-01,temporário,Excepturi totam officiis perferendis dolorem nam soluta facere.,pendente
Ian Barros,1978-10-09,492.765.831-73,66912,Atleta de tiro com arco,dolores,2024-03-31,2024-05-15,9,C0061,at,2024-05-06,94673-S,Nicole Costela,Ribeiro Peixoto - ME,internação,afastamento parcial,sim,perícia,outro,2024-02-17,2024-05-30,0,17:36:53,CLT,2024-05-14,2024-03-18,temporário,Occaecati nemo ut eius quaerat praesentium harum.,pendente
Alexia Nogueira,2004-02-29,243.178.590-41,49571,Escultor,vitae,2024-03-15,2024-02-26,17,C0034,reprehenderit,2024-03-05,94677-P,Clarice da Costa,da Rosa Ltda.,internação,afastamento total,sim,consulta,medicação,2024-03-22,2024-04-09,4,21:18:46,CLT,2024-01-21,2024-05-23,temporário,Tenetur dolores expedita debitis.,rejeitado
Luana Rocha,1981-06-09,834.195.706-00,85822,Esgrimista,aspernatur,2024-06-15,2024-03-05,11,A0095,perferendis,2024-04-19,53300-P,João Vieira,Porto - ME,ambulatorial,afastamento parcial,não,consulta,outro,2024-04-13,2024-01-10,3,11:08:25,CLT,2024-03-03,2024-06-09,temporário,Quis officiis debitis numquam dicta assumenda esse.,rejeitado
Sabrina da Mata,2001-06-02,529.081.736-03,54437,Angiologista,sed,2024-05-06,2024-01-05,15,D0081,sequi,2024-02-25,75504-P,Amanda Ramos,Silveira,internação,afastamento parcial,sim,consulta,outro,2024-01-02,2024-05-02,0,06:12:56,CLT,2024-05-14,2024-01-12,efetivo,Quas totam aliquam laborum veniam nulla.,rejeitado
Sra. Raquel Mendes,1960-04-26,201.896.357-03,58402,Produtor musical,ex,2024-02-04,2024-03-17,8,C0096,officiis,2024-02-04,12456-S,Maria Clara Teixeira,Castro,ambulatorial,afastamento parcial,não,perícia,medicação,2024-03-03,2024-05-08,5,18:53:14,CLT,2024-02-05,2024-06-01,temporário,Assumenda laborum delectus eaque possimus voluptates sed.,aprovado
Dra. Gabrielly Aragão,1970-07-19,269.308.475-00,69721,Serventuário,aliquam,2024-02-19,2024-02-21,6,C0038,commodi,2024-01-27,24164-P,Ana Sophia Freitas,Pinto Ltda.,internação,afastamento parcial,não,perícia,repouso,2024-06-05,2024-03-13,1,16:25:52,CLT,2024-05-25,2024-02-23,temporário,Similique est repellendus.,rejeitado
Davi Porto,1962-01-08,408.973.125-97,74173,Boticário,nam,2024-03-03,2024-02-25,28,A0020,consequuntur,2024-02-03,61200-S,Elisa Rocha,Pereira Duarte S.A.,internação,afastamento total,sim,perícia,outro,2024-03-26,2024-03-23,2,00:03:27,CLT,2024-02-12,2024-04-13,efetivo,Dicta veniam praesentium dolorum a fugiat.,pendente
Miguel Viana,1983-09-29,684.357.120-44,45019,Epidemiólogo,molestias,2024-04-23,2024-02-22,27,B0044,voluptates,2024-06-10,38713-P,Levi Azevedo,Nunes,ambulatorial,afastamento parcial,não,consulta,medicação,2024-01-25,2024-06-12,0,01:03:47,Estatutário,2024-04-05,2024-06-02,temporário,Rerum fuga porro laboriosam dolorem.,pendente
Igor Teixeira,1981-10-16,260.594.317-80,35195,Impressor,alias,2024-04-07,2024-02-28,15,C0064,voluptatibus,2024-04-11,95178-P,Luiz Felipe Aragão,da Cruz Rezende Ltda.,ambulatorial,afastamento parcial,não,consulta,medicação,2024-03-11,2024-04-12,3,21:07:20,Estatutário,2024-05-08,2024-04-09,efetivo,Ipsum nulla ullam magnam error.,rejeitado
